Season,Name,Amount,Category
17/18,Mountain Top Express #4,12,Front
17/18,Wildwood Express #3,25,Front
17/18,Game Creek Express #7,8,Front
17/18,Gopher Hill #12,199,Front
17/18,One,42,Front
17/18,Avanti Express Lift #2,32,Front
17/18,Eagle Bahn Gondola #19,22,Front
17/18,Born Free Express #8,3,Front
17/18,Riva Bahn Express #6,60,Front
17/18,Northwoods Express #11,19,Front
17/18,Highline Express #10,3,Front
17/18,Sourdough Express #14,6,Front
17/18,SkyLine Express #37,12,Blue Sky
17/18,Pete's Express #39,4,Blue Sky
17/18,Tea Cup Express #36,5,Back Bowls
17/18,High Noon Express #5,3,Back Bowls
17/18,Pride Express Lift #26,1,Front
17/18,Little Eagle #15,2,Front
17/18,Black Forest #27,1,Front
17/18,Orient Express Lift #21,2,Back Bowls
17/18,Sun Up Express #9,1,Back Bowls
18/19,Gopher Hill #12,193,Front
18/19,One,59,Front
18/19,Wildwood Express #3,53,Front
18/19,Riva Bahn Express #6,19,Front
18/19,Northwoods Express #11,24,Front
18/19,Avanti Express Lift #2,75,Front
18/19,Game Creek Express #7,16,Front
18/19,High Noon Express #5,21,Back Bowls
18/19,Sun Up Express #9,15,Back Bowls
18/19,SkyLine Express #37,9,Blue Sky
18/19,Tea Cup Express #36,7,Back Bowls
18/19,Mountain Top Express #4,30,Front
18/19,Orient Express Lift #21,3,Back Bowls
18/19,Born Free Express #8,4,Front
18/19,Mongolia Lift #22,3,Back Bowls
18/19,Little Eagle #15,2,Front
18/19,Eagle Bahn Gondola #19,24,Front
18/19,Sourdough Express #14,7,Front
18/19,Highline Express #10,4,Front
18/19,Black Forest #27,3,Front
18/19,Pride Express Lift #26,1,Front
19/20,Gopher Hill #12,143,Front
19/20,One,51,Front
19/20,Wildwood Express #3,40,Front
19/20,Avanti Express Lift #2,99,Front
19/20,Mountain Top Express #4,57,Front
19/20,Northwoods Express #11,41,Front
19/20,Eagle Bahn Gondola #19,20,Front
19/20,Pride Express Lift #26,5,Front
19/20,Riva Bahn Express #6,77,Front
19/20,Sun Up Express #9,16,Back Bowls
19/20,High Noon Express #5,16,Back Bowls
19/20,Little Eagle #15,4,Front
19/20,SkyLine Express #37,11,Blue Sky
19/20,Earl's Express #38,6,Blue Sky
19/20,Tea Cup Express #36,11,Back Bowls
19/20,Born Free Express #8,9,Front
19/20,Game Creek Express #7,9,Front
19/20,Sourdough Express #14,11,Front
19/20,Pete's Express #39,7,Blue Sky
19/20,Black Forest #27,4,Front
19/20,Orient Express Lift #21,8,Back Bowls
19/20,Mongolia Lift #22,4,Back Bowls
19/20,Highline Express #10,4,Back Bowls
